Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Stage,Legendary,fecha_aparicion,objeto
Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,FALSE,1999-03-13,false
Ivysaur,Grass,Poison,405,60,62,63,80,80,60,2,FALSE,1997-04-09,true
Venusaur,Grass,Poison,525,80,82,83,100,100,80,3,FALSE,1997-02-11,true
Charmander,Fire,,309,39,52,43,60,50,65,1,FALSE,2003-06-30,false
Charmeleon,Fire,,405,58,64,58,80,65,80,2,FALSE,2019-03-17,false
Charizard,Fire,Flying,534,78,84,78,109,85,100,3,FALSE,2015-09-11,false
Squirtle,Water,,314,44,48,65,50,64,43,1,FALSE,2001-02-07,true
Wartortle,Water,,405,59,63,80,65,80,58,2,FALSE,2020-11-28,false
Blastoise,Water,,530,79,83,100,85,105,78,3,FALSE,1999-07-11,false
Caterpie,Bug,,195,45,30,35,20,20,45,1,FALSE,2001-08-27,false
Metapod,Bug,,205,50,20,55,25,25,30,2,FALSE,2013-04-28,false
Butterfree,Bug,Flying,395,60,45,50,90,80,70,3,FALSE,2001-03-10,true
Weedle,Bug,Poison,195,40,35,30,20,20,50,1,FALSE,2021-02-13,false
Kakuna,Bug,Poison,205,45,25,50,25,25,35,2,FALSE,2012-11-23,false
Beedrill,Bug,Poison,395,65,90,40,45,80,75,3,FALSE,1998-03-14,false
Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,FALSE,2009-04-27,true
Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,2,FALSE,2014-05-16,false
Pidgeot,Normal,Flying,479,83,80,75,70,70,101,3,FALSE,2021-01-21,true
Rattata,Normal,,253,30,56,35,25,35,72,1,FALSE,2006-04-01,true
Raticate,Normal,,413,55,81,60,50,70,97,2,FALSE,2001-09-16,true
Spearow,Normal,Flying,262,40,60,30,31,31,70,1,FALSE,2021-02-11,false
Fearow,Normal,Flying,442,65,90,65,61,61,100,2,FALSE,2008-11-07,false
Ekans,Poison,,288,35,60,44,40,54,55,1,FALSE,2015-12-01,true
Arbok,Poison,,438,60,85,69,65,79,80,2,FALSE,2020-06-28,false
Pikachu,Electric,,320,35,55,40,50,50,90,1,FALSE,2007-06-13,false
Raichu,Electric,,485,60,90,55,90,80,110,2,FALSE,2010-03-27,true
Sandshrew,Ground,,300,50,75,85,20,30,40,1,FALSE,2002-03-29,true
Sandslash,Ground,,450,75,100,110,45,55,65,2,FALSE,2007-06-04,true
Nidoren,Poison,,275,55,47,52,40,40,41,1,FALSE,2017-11-29,true
Nidorina,Poison,,365,70,62,67,55,55,56,2,FALSE,2001-11-07,true
Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,3,FALSE,2015-12-18,false
Nidoran,Poison,,273,46,57,40,40,40,50,1,FALSE,2013-08-26,true
Nidorino,Poison,,365,61,72,57,55,55,65,2,FALSE,2005-11-14,false
Nidoking,Poison,Ground,505,81,102,77,85,75,85,3,FALSE,2007-07-02,false
Clefairy,Fairy,,323,70,45,48,60,65,35,1,FALSE,2017-10-28,false
Clefable,Fairy,,483,95,70,73,95,90,60,2,FALSE,2001-06-29,false
Vulpix,Fire,,299,38,41,40,50,65,65,1,FALSE,2010-10-02,false
Ninetales,Fire,,505,73,76,75,81,100,100,2,FALSE,2014-11-06,false
Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,FALSE,2014-02-03,false
Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,2,FALSE,2011-08-05,true
Zubat,Poison,Flying,245,40,45,35,30,40,55,1,FALSE,2012-09-20,true
Golbat,Poison,Flying,455,75,80,70,65,75,90,2,FALSE,2009-05-19,true
Oddish,Grass,Poison,320,45,50,55,75,65,30,1,FALSE,2001-11-06,false
Gloom,Grass,Poison,395,60,65,70,85,75,40,2,FALSE,2017-07-15,true
Vileplume,Grass,Poison,490,75,80,85,110,90,50,3,FALSE,2015-04-28,true
Paras,Bug,Grass,285,35,70,55,45,55,25,1,FALSE,2019-02-19,true
